70	LD B,(HL)	1	8	- - - -
71	LD B,A	1	4	- - - -
72	LD C,B	1	4	- - - -
73	LD C,C	1	4	- - - -
74	LD C,D	1	4	- - - -
75	LD C,E	1	4	- - - -
76	LD C,H	1	4	- - - -
77	LD C,L	1	4	- - - -
78	LD C,(HL)	1	8	- - - -
79	LD C,A	1	4	- - - -
80	LD D,B	1	4	- - - -
81	LD D,C	1	4	- - - -
82	LD D,D	1	4	- - - -
83	LD D,E	1	4	- - - -
84	LD D,H	1	4	- - - -
85	LD D,L	1	4	- - - -
86	LD D,(HL)	1	8	- - - -
87	LD D,A	1	4	- - - -
88	LD E,B	1	4	- - - -
89	LD E,C	1	4	- - - -
90	LD E,D	1	4	- - - -
91	LD E,E	1	4	- - - -
92	LD E,H	1	4	- - - -
93	LD E,L	1	4	- - - -
94	LD E,(HL)	1	8	- - - -
95	LD E,A	1	4	- - - -
96	LD H,B	1	4	- - - -
97	LD H,C	1	4	- - - -
98	LD H,D	1	4	- - - -
99	LD H,E	1	4	- - - -
100	LD H,H	1	4	- - - -
101	LD H,L	1	4	- - - -
102	LD H,(HL)	1	8	- - - -
103	LD H,A	1	4	- - - -
104	LD L,B	1	4	- - - -
105	LD L,C	1	4	- - - -
106	LD L,D	1	4	- - - -
107	LD L,E	1	4	- - - -
108	LD L,H	1	4	- - - -
109	LD L,L	1	4	- - - -
110	LD L,(HL)	1	8	- - - -
111	LD L,A	1	4	- - - -
112	LD (HL),B	1	8	- - - -
113	LD (HL),C	1	8	- - - -
114	LD (HL),D	1	8	- - - -
115	LD (HL),E	1	8	- - - -
116	LD (HL),H	1	8	- - - -
117	LD (HL),L	1	8	- - - -
118	HALT	1	4	- - - -
119	LD (HL),A	1	8	- - - -
120	LD A,B	1	4	- - - -
121	LD A,C	1	4	- - - -
122	LD A,D	1	4	- - - -
123	LD A,E	1	4	- - - -
124	LD A,H	1	4	- - - -
125	LD A,L	1	4	- - - -
126	LD A,(HL)	1	8	- - - -
127	LD A,A	1	4	- - - -
128	ADD A,B	1	4	Z 0 H C
129	ADD A,C	1	4	Z 0 H C
130	ADD A,D	1	4	Z 0 H C
131	ADD A,E	1	4	Z 0 H C
132	ADD A,H	1	4	Z 0 H C
133	ADD A,L	1	4	Z 0 H C
134	ADD A,(HL)	1	8	Z 0 H C
135	ADD A,A	1	4	Z 0 H C
136	ADC A,B	1	4	Z 0 H C
137	ADC A,C	1	4	Z 0 H C
138	ADC A,D	1	4	Z 0 H C
139	ADC A,E	1	4	Z 0 H C
140	ADC A,H	1	4	Z 0 H C
141	ADC A,L	1	4	Z 0 H C
142	ADC A,(HL)	1	8	Z 0 H C
143	ADC A,A	1	4	Z 0 H C
144	SUB B	1	4	Z 1 H C
145	SUB C	1	4	Z 1 H C
146	SUB D	1	4	Z 1 H C
147	SUB E	1	4	Z 1 H C
148	SUB H	1	4	Z 1 H C
149	SUB L	1	4	Z 1 H C
150	SUB (HL)	1	8	Z 1 H C
151	SUB A	1	4	Z 1 H C
152	SBC A,B	1	4	Z 1 H C
153	SBC A,C	1	4	Z 1 H C
154	SBC A,D	1	4	Z 1 H C
155	SBC A,E	1	4	Z 1 H C
156	SBC A,H	1	4	Z 1 H C
157	SBC A,L	1	4	Z 1 H C
158	SBC A,(HL)	1	8	Z 1 H C
159	SBC A,A	1	4	Z 1 H C
160	AND B	1	4	Z 0 1 0
161	AND C	1	4	Z 0 1 0
162	AND D	1	4	Z 0 1 0
163	AND E	1	4	Z 0 1 0
164	AND H	1	4	Z 0 1 0
165	AND L	1	4	Z 0 1 0
166	AND (HL)	1	8	Z 0 1 0
167	AND A	1	4	Z 0 1 0
168	XOR B	1	4	Z 0 0 0
169	XOR C	1	4	Z 0 0 0
170	XOR D	1	4	Z 0 0 0
171	XOR E	1	4	Z 0 0 0
172	XOR H	1	4	Z 0 0 0
173	XOR L	1	4	Z 0 0 0
174	XOR (HL)	1	8	Z 0 0 0
175	XOR A	1	4	Z 0 0 0
176	OR B	1	4	Z 0 0 0
177	OR C	1	4	Z 0 0 0
178	OR D	1	4	Z 0 0 0
179	OR E	1	4	Z 0 0 0
180	OR H	1	4	Z 0 0 0
181	OR L	1	4	Z 0 0 0
182	OR (HL)	1	8	Z 0 0 0
183	OR A	1	4	Z 0 0 0
184	CP B	1	4	Z 1 H C
185	CP C	1	4	Z 1 H C
186	CP D	1	4	Z 1 H C
187	CP E	1	4	Z 1 H C
188	CP H	1	4	Z 1 H C
189	CP L	1	4	Z 1 H C
190	CP (HL)	1	8	Z 1 H C
191	CP A	1	4	Z 1 H C
192	RET NZ	1	20/8	- - - -
193	POP BC	1	12	- - - -
194	JP NZ,a16	3	16/12	- - - -
195	JP a16	3	16	- - - -
196	CALL NZ,a16	3	24/12	- - - -
197	PUSH BC	1	16	- - - -
198	ADD A,d8	2	8	Z 0 H C
199	RST 00H	1	16	- - - -
200	RET Z	1	20/8	- - - -
201	RET	1	16	- - - -
202	JP Z,a16	3	16/12	- - - -
203	PREFIX CB	1	4	- - - -
204	CALL Z,a16	3	24/12	- - - -
205	CALL a16	3	24	- - - -
206	ADC A,d8	2	8	Z 0 H C
207	RST 08H	1	16	- - - -
208	RET NC	1	20/8	- - - -
209	POP DE	1	12	- - - -
210	JP NC,a16	3	16/12	- - - -
211
212	CALL NC,a16	3	24/12	- - - -
213	PUSH DE	1	16	- - - -
214	SUB d8	2	8	Z 1 H C
215	RST 10H	1	16	- - - -
216	RET C	1	20/8	- - - -
217	RETI	1	16	- - - -
218	JP C,a16	3	16/12	- - - -
219
220	CALL C,a16	3	24/12	- - - -
221
222	SBC A,d8	2	8	Z 1 H C
223	RST 18H	1	16	- - - -
224	LDH (a8),A	2	12	- - - -
225	POP HL	1	12	- - - -
226	LD (C),A	2	8	- - - -
227
228
229	PUSH HL	1	16	- - - -
230	AND d8	2	8	Z 0 1 0
231	RST 20H	1	16	- - - -
232	ADD SP,r8	2	16	0 0 H C
233	JP (HL)	1	4	- - - -
234	LD (a16),A	3	16	- - - -
235
236
237
238	XOR d8	2	8	Z 0 0 0
239	RST 28H	1	16	- - - -
240	LDH A,(a8)	2	12	- - - -
241	POP AF	1	12	Z N H C
242	LD A,(C)	2	8	- - - -
243	DI	1	4	- - - -
244
245	PUSH AF	1	16	- - - -
246	OR d8	2	8	Z 0 0 0
247	RST 30H	1	16	- - - -
248	LD HL,SP+r8	2	12	0 0 H C
249	LD SP,HL	1	8	- - - -
250	LD A,(a16)	3	16	- - - -
251	EI	1	4	- - - -
252
253
254	CP d8	2	8	Z 1 H C
255	RST 38H	1	16	- - - -
256	RLC B	2	8	Z 0 0 C
257	RLC C	2	8	Z 0 0 C
258	RLC D	2	8	Z 0 0 C
259	RLC E	2	8	Z 0 0 C
260	RLC H	2	8	Z 0 0 C
261	RLC L	2	8	Z 0 0 C
262	RLC (HL)	2	16	Z 0 0 C
263	RLC A	2	8	Z 0 0 C
264	RRC B	2	8	Z 0 0 C
265	RRC C	2	8	Z 0 0 C
266	RRC D	2	8	Z 0 0 C
267	RRC E	2	8	Z 0 0 C
268	RRC H	2	8	Z 0 0 C
269	RRC L	2	8	Z 0 0 C
270	RRC (HL)	2	16	Z 0 0 C
271	RRC A	2	8	Z 0 0 C
272	RL B	2	8	Z 0 0 C
273	RL C	2	8	Z 0 0 C
274	RL D	2	8	Z 0 0 C
275	RL E	2	8	Z 0 0 C
276	RL H	2	8	Z 0 0 C
277	RL L	2	8	Z 0 0 C
278	RL (HL)	2	16	Z 0 0 C
279	RL A	2	8	Z 0 0 C
280	RR B	2	8	Z 0 0 C
281	RR C	2	8	Z 0 0 C
282	RR D	2	8	Z 0 0 C
283	RR E	2	8	Z 0 0 C
284	RR H	2	8	Z 0 0 C
285	RR L	2	8	Z 0 0 C
286	RR (HL)	2	16	Z 0 0 C
287	RR A	2	8	Z 0 0 C
288	SLA B	2	8	Z 0 0 C
289	SLA C	2	8	Z 0 0 C
290	SLA D	2	8	Z 0 0 C
291	SLA E	2	8	Z 0 0 C
292	SLA H	2	8	Z 0 0 C
293	SLA L	2	8	Z 0 0 C
294	SLA (HL)	2	16	Z 0 0 C
295	SLA A	2	8	Z 0 0 C
296	SRA B	2	8	Z 0 0 0
297	SRA C	2	8	Z 0 0 0
298	SRA D	2	8	Z 0 0 0
299	SRA E	2	8	Z 0 0 0
300	SRA H	2	8	Z 0 0 0
301	SRA L	2	8	Z 0 0 0
302	SRA (HL)	2	16	Z 0 0 0
303	SRA A	2	8	Z 0 0 0
304	SWAP B	2	8	Z 0 0 0
305	SWAP C	2	8	Z 0 0 0
306	SWAP D	2	8	Z 0 0 0
307	SWAP E	2	8	Z 0 0 0
308	SWAP H	2	8	Z 0 0 0
309	SWAP L	2	8	Z 0 0 0
310	SWAP (HL)	2	16	Z 0 0 0
311	SWAP A	2	8	Z 0 0 0
312	SRL B	2	8	Z 0 0 C
313	SRL C	2	8	Z 0 0 C
314	SRL D	2	8	Z 0 0 C
315	SRL E	2	8	Z 0 0 C
316	SRL H	2	8	Z 0 0 C
317	SRL L	2	8	Z 0 0 C
318	SRL (HL)	2	16	Z 0 0 C
319	SRL A	2	8	Z 0 0 C
320	BIT 0,B	2	8	Z 0 1 -
321	BIT 0,C	2	8	Z 0 1 -
322	BIT 0,D	2	8	Z 0 1 -
323	BIT 0,E	2	8	Z 0 1 -
324	BIT 0,H	2	8	Z 0 1 -
325	BIT 0,L	2	8	Z 0 1 -
326	BIT 0,(HL)	2	16	Z 0 1 -
327	BIT 0,A	2	8	Z 0 1 -
328	BIT 1,B	2	8	Z 0 1 -
329	BIT 1,C	2	8	Z 0 1 -
330	BIT 1,D	2	8	Z 0 1 -
331	BIT 1,E	2	8	Z 0 1 -
332	BIT 1,H	2	8	Z 0 1 -
333	BIT 1,L	2	8	Z 0 1 -
334	BIT 1,(HL)	2	16	Z 0 1 -
335	BIT 1,A	2	8	Z 0 1 -
336	BIT 2,B	2	8	Z 0 1 -
337	BIT 2,C	2	8	Z 0 1 -
338	BIT 2,D	2	8	Z 0 1 -
339	BIT 2,E	2	8	Z 0 1 -
340	BIT 2,H	2	8	Z 0 1 -
341	BIT 2,L	2	8	Z 0 1 -
342	BIT 2,(HL)	2	16	Z 0 1 -
343	BIT 2,A	2	8	Z 0 1 -
344	BIT 3,B	2	8	Z 0 1 -
345	BIT 3,C	2	8	Z 0 1 -
346	BIT 3,D	2	8	Z 0 1 -
347	BIT 3,E	2	8	Z 0 1 -
348	BIT 3,H	2	8	Z 0 1 -
349	BIT 3,L	2	8	Z 0 1 -
350	BIT 3,(HL)	2	16	Z 0 1 -
351	BIT 3,A	2	8	Z 0 1 -
352	BIT 4,B	2	8	Z 0 1 -
353	BIT 4,C	2	8	Z 0 1 -
354	BIT 4,D	2	8	Z 0 1 -
355	BIT 4,E	2	8	Z 0 1 -
356	BIT 4,H	2	8	Z 0 1 -
357	BIT 4,L	2	8	Z 0 1 -
358	BIT 4,(HL)	2	16	Z 0 1 -
359	BIT 4,A	2	8	Z 0 1 -
360	BIT 5,B	2	8	Z 0 1 -
361	BIT 5,C	2	8	Z 0 1 -
362	BIT 5,D	2	8	Z 0 1 -
363	BIT 5,E	2	8	Z 0 1 -
364	BIT 5,H	2	8	Z 0 1 -
365	BIT 5,L	2	8	Z 0 1 -
366	BIT 5,(HL)	2	16	Z 0 1 -
367	BIT 5,A	2	8	Z 0 1 -
368	BIT 6,B	2	8	Z 0 1 -
369	BIT 6,C	2	8	Z 0 1 -
370	BIT 6,D	2	8	Z 0 1 -
371	BIT 6,E	2	8	Z 0 1 -
372	BIT 6,H	2	8	Z 0 1 -
373	BIT 6,L	2	8	Z 0 1 -
374	BIT 6,(HL)	2	16	Z 0 1 -
375	BIT 6,A	2	8	Z 0 1 -
376	BIT 7,B	2	8	Z 0 1 -
377	BIT 7,C	2	8	Z 0 1 -
378	BIT 7,D	2	8	Z 0 1 -
379	BIT 7,E	2	8	Z 0 1 -
380	BIT 7,H	2	8	Z 0 1 -
381	BIT 7,L	2	8	Z 0 1 -
382	BIT 7,(HL)	2	16	Z 0 1 -
383	BIT 7,A	2	8	Z 0 1 -
384	RES 0,B	2	8	- - - -
385	RES 0,C	2	8	- - - -
386	RES 0,D	2	8	- - - -
387	RES 0,E	2	8	- - - -
388	RES 0,H	2	8	- - - -
389	RES 0,L	2	8	- - - -
390	RES 0,(HL)	2	16	- - - -
391	RES 0,A	2	8	- - - -
392	RES 1,B	2	8	- - - -
393	RES 1,C	2	8	- - - -
394	RES 1,D	2	8	- - - -
395	RES 1,E	2	8	- - - -
396	RES 1,H	2	8	- - - -
397	RES 1,L	2	8	- - - -
398	RES 1,(HL)	2	16	- - - -
399	RES 1,A	2	8	- - - -
400	RES 2,B	2	8	- - - -
401	RES 2,C	2	8	- - - -
402	RES 2,D	2	8	- - - -
403	RES 2,E	2	8	- - - -
404	RES 2,H	2	8	- - - -
405	RES 2,L	2	8	- - - -
406	RES 2,(HL)	2	16	- - - -
407	RES 2,A	2	8	- - - -
408	RES 3,B	2	8	- - - -
409	RES 3,C	2	8	- - - -
410	RES 3,D	2	8	- - - -
411	RES 3,E	2	8	- - - -
412	RES 3,H	2	8	- - - -
413	RES 3,L	2	8	- - - -
414	RES 3,(HL)	2	16	- - - -
415	RES 3,A	2	8	- - - -
416	RES 4,B	2	8	- - - -
417	RES 4,C	2	8	- - - -
418	RES 4,D	2	8	- - - -
419	RES 4,E	2	8	- - - -
420	RES 4,H	2	8	- - - -
421	RES 4,L	2	8	- - - -
422	RES 4,(HL)	2	16	- - - -
423	RES 4,A	2	8	- - - -
424	RES 5,B	2	8	- - - -
425	RES 5,C	2	8	- - - -
426	RES 5,D	2	8	- - - -
427	RES 5,E	2	8	- - - -
428	RES 5,H	2	8	- - - -
429	RES 5,L	2	8	- - - -
430	RES 5,(HL)	2	16	- - - -
431	RES 5,A	2	8	- - - -
432	RES 6,B	2	8	- - - -
433	RES 6,C	2	8	- - - -
434	RES 6,D	2	8	- - - -
435	RES 6,E	2	8	- - - -
436	RES 6,H	2	8	- - - -
437	RES 6,L	2	8	- - - -
438	RES 6,(HL)	2	16	- - - -
439	RES 6,A	2	8	- - - -
440	RES 7,B	2	8	- - - -
441	RES 7,C	2	8	- - - -
442	RES 7,D	2	8	- - - -
443	RES 7,E	2	8	- - - -
444	RES 7,H	2	8	- - - -
445	RES 7,L	2	8	- - - -
446	RES 7,(HL)	2	16	- - - -
447	RES 7,A	2	8	- - - -
448	SET 0,B	2	8	- - - -
449	SET 0,C	2	8	- - - -
450	SET 0,D	2	8	- - - -
451	SET 0,E	2	8	- - - -
452	SET 0,H	2	8	- - - -
453	SET 0,L	2	8	- - - -
454	SET 0,(HL)	2	16	- - - -
455	SET 0,A	2	8	- - - -
456	SET 1,B	2	8	- - - -
457	SET 1,C	2	8	- - - -
458	SET 1,D	2	8	- - - -
459	SET 1,E	2	8	- - - -
460	SET 1,H	2	8	- - - -
461	SET 1,L	2	8	- - - -
462	SET 1,(HL)	2	16	- - - -
463	SET 1,A	2	8	- - - -
464	SET 2,B	2	8	- - - -
465	SET 2,C	2	8	- - - -
466	SET 2,D	2	8	- - - -
467	SET 2,E	2	8	- - - -
468	SET 2,H	2	8	- - - -
469	SET 2,L	2	8	- - - -
470	SET 2,(HL)	2	16	- - - -
471	SET 2,A	2	8	- - - -
472	SET 3,B	2	8	- - - -
473	SET 3,C	2	8	- - - -
474	SET 3,D	2	8	- - - -
475	SET 3,E	2	8	- - - -
476	SET 3,H	2	8	- - - -
477	SET 3,L	2	8	- - - -
478	SET 3,(HL)	2	16	- - - -
479	SET 3,A	2	8	- - - -
480	SET 4,B	2	8	- - - -
481	SET 4,C	2	8	- - - -
482	SET 4,D	2	8	- - - -
483	SET 4,E	2	8	- - - -
484	SET 4,H	2	8	- - - -
485	SET 4,L	2	8	- - - -
486	SET 4,(HL)	2	16	- - - -
487	SET 4,A	2	8	- - - -
488	SET 5,B	2	8	- - - -
489	SET 5,C	2	8	- - - -
490	SET 5,D	2	8	- - - -
491	SET 5,E	2	8	- - - -
492	SET 5,H	2	8	- - - -
493	SET 5,L	2	8	- - - -
494	SET 5,(HL)	2	16	- - - -
495	SET 5,A	2	8	- - - -
496	SET 6,B	2	8	- - - -
497	SET 6,C	2	8	- - - -
498	SET 6,D	2	8	- - - -
499	SET 6,E	2	8	- - - -
500	SET 6,H	2	8	- - - -
501	SET 6,L	2	8	- - - -
502	SET 6,(HL)	2	16	- - - -
503	SET 6,A	2	8	- - - -
504	SET 7,B	2	8	- - - -
505	SET 7,C	2	8	- - - -
506	SET 7,D	2	8	- - - -
507	SET 7,E	2	8	- - - -
508	SET 7,H	2	8	- - - -
509	SET 7,L	2	8	- - - -
510	SET 7,(HL)	2	16	- - - -
511	SET 7,A	2	8	- - - -
